Αρχικός_Νομός,Καθαρισμένος_Νομός,Περιφέρεια
ΑΓΙΟ ΟΡΟΣ,ΑΓΙΟ ΟΡΟΣ,ΑΓΙΟ ΟΡΟΣ
ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ
ΕΒΡΟΥ,ΕΒΡΟΥ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ
ΘΑΣΟΥ,ΘΑΣΟΥ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ
ΚΑΒΑΛΑΣ,ΚΑΒΑΛΑΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ
ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ
ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ
ΡΟΔΟΠΗΣ,ΡΟΔΟΠΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ
ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ
ΝΗΣΩΝ,ΝΗΣΩΝ,ΑΤΤΙΚΗΣ
ΠΕΙΡΑΙΩΣ,ΠΕΙΡΑΙΩΣ,ΑΤΤΙΚΗΣ
ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ
ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ
ΛΗΜΝΟΥ,ΛΗΜΝΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ
ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ
ΣΑΜΟΥ,ΣΑΜΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ
ΧΙΟΥ,ΧΙΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ
ΑΧΑΙΑΣ,ΑΧΑΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ
ΗΛΕΙΑΣ,ΗΛΕΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ
ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ
ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΘΕΣΠΡΩΤΙΑΣ,ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ
ΙΩΑΝΝΙΝΩΝ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ
ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,ΗΠΕΙΡΟΥ
ΠΡΕΒΕΖΗΣ,ΠΡΕΒΕΖΗΣ,ΗΠΕΙΡΟΥ
ΜΑΓΝΗΣΙΑΣ,ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ
ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,ΘΕΣΣΑΛΙΑΣ
ΣΠΟΡΑΔΩΝ,ΣΠΟΡΑΔΩΝ,ΘΕΣΣΑΛΙΑΣ
ΤΡΙΚΑΛΩΝ,ΤΡΙΚΑΛΩΝ,ΘΕΣΣΑΛΙΑΣ
ΖΑΚΥΝΘΟΥ,ΖΑΚΥΝΘΟΥ,ΙΟΝΙΩΝ ΝΗΣΩΝ
ΙΘΑΚΗΣ,ΙΘΑΚΗΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ
ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ
ΚΕΦΑΛΛΗΝΙΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ
ΛΕΥΚΑΔΟΣ,ΛΕΥΚΑΔΟΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ
ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,ΙΟΝΙΩΝ ΝΗΣΩΝ
ΗΜΑΘΙΑΣ,ΗΜΑΘΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΠΙΕΡΙΑΣ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΧΑΛΚΙΔΙΚΗΣ,ΧΑΛΚΙΔΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ
ΛΑΣΙΘΙΟΥ,ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ
ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,ΚΡΗΤΗΣ
ΧΑΝΙΩΝ,ΧΑΝΙΩΝ,ΚΡΗΤΗΣ
ΑΝΔΡΟΥ,ΑΝΔΡΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΘΗΡΑΣ,ΘΗΡΑΣ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΚΑΛΥΜΝΟΥ,ΚΑΛΥΜΝΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΚΑΡΠΑΘΟΥ,ΚΑΡΠΑΘΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΚΕΑΣ - ΚΥΘΝΟΥ,ΚΕΑΣ - ΚΥΘΝΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΚΥΚΛΑΔΩΝ,ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΚΩ,ΚΩ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΜΗΛΟΥ,ΜΗΛΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΜΥΚΟΝΟΥ,ΜΥΚΟΝΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΝΑΞΟΥ,ΝΑΞΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΠΑΡΟΥ,ΠΑΡΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΡΟΔΟΥ,ΡΟΔΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΣΥΡΟΥ,ΣΥΡΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΤΗΝΟΥ,ΤΗΝΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
ΑΡΓΟΛΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ
ΑΡΚΑΔΙΑΣ,ΑΡΚΑΔΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ
ΚΟΡΙΝΘΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ
ΛΑΚΩΝΙΑΣ,ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ
ΜΕΣΣΗΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ
ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,ΠΕΛΟΠΟΝΝΗΣΟΥ
ΒΟΙΩΤΙΑΣ,ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
ΕΥΒΟΙΑΣ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
ΕΥΡΥΤΑΝΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
ΦΩΚΙΔΟΣ,ΦΩΚΙΔΟΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
ΑΡΓΟΛΙΔΑΣ,ΑΡΓΟΛΙΔΑΣ,
ΑΡΤΑΣ,ΑΡΤΑΣ,
ΔΩΔΕΚΑΝΗΣΩΝ,ΔΩΔΕΚΑΝΗΣΩΝ,
ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,
ΚΑΡΔΙΤΣΑΣ,ΚΑΡΔΙΤΣΑΣ,
ΚΕΦΑΛΛΟΝΙΑΣ,ΚΕΦΑΛΛΟΝΙΑΣ,
ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΣ,
ΛΕΥΚΑΔΑΣ,ΛΕΥΚΑΔΑΣ,
ΠΕΛΛΑΣ,ΠΕΛΛΑΣ,
ΠΡΕΒΕΖΑΣ,ΠΡΕΒΕΖΑΣ,
ΡΕΘΥΜΝΟΥ,ΡΕΘΥΜΝΟΥ,
ΦΘΙΩΤΙΔΑΣ,ΦΘΙΩΤΙΔΑΣ,
ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ,
ΦΩΚΙΔΑΣ,ΦΩΚΙΔΑΣ,
